Gender,Marital_Status,Dependents,Education,Employment_Status,City/Town,Annual_Income,Loan_History,Loan_Amount_Requested,Loan_Term,Loan_Approval_Status
Female,Married,0,High School,Self-Employed,Suburban,137853,1,33937,39,1
Female,Married,0,High School,Employed,Rural,123266,0,34707,192,1
Male,Single,3,Postgraduate,Employed,Urban,38330,0,15084,164,1
Male,Divorced,0,High School,Employed,Urban,83938,0,22519,44,1
Female,Single,0,Graduate,Employed,Urban,112335,0,20804,39,0
Male,Divorced,2,High School,Employed,Urban,67933,1,20249,45,0
Female,Single,1,Graduate,Employed,Urban,99270,0,26828,192,1
Female,Married,1,Graduate,Self-Employed,Suburban,134031,1,36100,85,0
Male,Single,3,High School,Self-Employed,Urban,60103,0,20000,41,1
Male,Married,1,High School,Employed,Urban,127737,1,32997,213,1
Male,Married,2,High School,Employed,Suburban,148537,1,24363,40,1
Female,Divorced,2,Postgraduate,Self-Employed,Urban,69760,0,20122,123,0
Female,Married,0,High School,Self-Employed,Urban,129380,0,32699,200,1
Male,Single,1,High School,Employed,Suburban,135220,0,38280,44,1
Female,Married,3,Postgraduate,Self-Employed,Urban,67283,1,11245,21,0
Male,Married,0,High School,Employed,Urban,44493,1,13470,136,0
Male,Single,2,High School,Employed,Urban,131192,1,23590,223,1
Female,Married,1,High School,Self-Employed,Suburban,74599,0,20034,132,1
Male,Single,2,Graduate,Employed,Suburban,139214,0,35421,44,0
Male,Married,1,High School,Self-Employed,Urban,61410,0,12388,134,0
Female,Divorced,0,High School,Self-Employed,Urban,137955,0,38046,86,1
Male,Married,3,Postgraduate,Self-Employed,Urban,106351,1,22578,33,0
Female,Single,3,Postgraduate,Self-Employed,Urban,35323,0,7048,223,1
Male,Single,2,Postgraduate,Unemployed,Suburban,98424,0,22124,82,1
Male,Single,3,Postgraduate,Employed,Urban,126974,1,22495,188,1
Male,Married,0,Graduate,Employed,Urban,122024,0,26740,61,0
Male,Married,0,Graduate,Employed,Suburban,85163,0,22311,191,1
Female,Married,0,Graduate,Employed,Rural,113970,0,23109,99,1
Male,Single,1,Graduate,Employed,Suburban,84867,0,20247,114,1
Female,Married,3,High School,Employed,Urban,39218,0,13668,176,0
Female,Married,2,High School,Unemployed,Urban,102705,0,26269,60,1
Male,Single,1,High School,Self-Employed,Urban,54157,0,8752,61,0
Male,Married,3,Graduate,Unemployed,Suburban,100970,0,26881,226,1
Male,Married,2,Graduate,Self-Employed,Suburban,68259,0,20167,149,1
Male,Married,1,Postgraduate,Unemployed,Urban,55260,0,20000,202,1
Male,Divorced,0,Graduate,Self-Employed,Rural,136482,0,24072,231,1
Female,Single,0,Graduate,Unemployed,Urban,56075,1,20652,158,0
Female,Married,3,Postgraduate,Unemployed,Suburban,121084,1,31594,112,1
Female,Married,3,Graduate,Self-Employed,Suburban,80776,0,23764,156,1
Female,Married,1,Postgraduate,Employed,Urban,73543,1,20847,95,1
Male,Single,1,Graduate,Employed,Rural,97998,0,24878,127,0
Female,Single,1,Graduate,Self-Employed,Suburban,64992,0,20000,57,1
Female,Married,3,High School,Employed,Suburban,105075,0,27536,122,1
Female,Single,1,Graduate,Self-Employed,Rural,147521,0,30888,218,1
Male,Married,2,Graduate,Unemployed,Urban,72244,0,20526,231,1
Male,Single,2,Graduate,Employed,Urban,70066,0,20191,19,0
Female,Single,3,Graduate,Employed,Suburban,30642,0,6627,159,0
Male,Married,0,Postgraduate,Employed,Rural,115371,1,27869,183,1
Female,Single,0,High School,Unemployed,Urban,68568,0,25145,229,0
Female,Single,3,High School,Unemployed,Suburban,44252,0,5126,168,0
Female,Single,1,Graduate,Unemployed,Urban,118407,1,35289,98,1
Female,Married,2,Postgraduate,Self-Employed,Urban,92652,0,25431,218,1
Male,Single,0,Graduate,Employed,Rural,107722,0,20017,27,1
Female,Married,0,High School,Self-Employed,Urban,113841,0,20024,109,1
Female,Single,0,Graduate,Employed,Urban,139333,0,22456,151,0
Female,Married,3,Postgraduate,Employed,Urban,32773,0,7065,48,0
Female,Married,3,High School,Unemployed,Urban,138764,0,33931,88,1
Male,Single,3,High School,Unemployed,Urban,106610,0,23073,123,1
Male,Single,2,Postgraduate,Self-Employed,Suburban,98524,1,24143,14,1
Female,Single,0,High School,Self-Employed,Urban,149849,0,26445,50,1
Female,Single,2,Graduate,Employed,Urban,62818,0,18230,177,1
Female,Married,0,High School,Self-Employed,Urban,46160,0,9191,76,0
Female,Single,0,Graduate,Self-Employed,Urban,131369,0,21767,91,1
Female,Married,0,Postgraduate,Employed,Urban,89872,0,20415,147,1
Female,Single,3,Graduate,Self-Employed,Urban,50318,1,8502,22,0
Male,Single,3,Postgraduate,Employed,Urban,63567,0,11181,15,0
Female,Single,0,High School,Employed,Suburban,57837,0,9182,71,0
Male,Single,0,High School,Self-Employed,Rural,25863,1,7965,44,0
Female,Single,3,High School,Employed,Urban,54295,0,20000,209,1
Male,Single,1,Postgraduate,Employed,Urban,50199,0,20000,123,1
Male,Single,1,Graduate,Employed,Urban,135828,0,22686,54,1
Female,Married,1,High School,Unemployed,Urban,51550,0,20000,109,1
Male,Divorced,0,High School,Employed,Urban,45314,0,6836,71,0
Male,Married,1,Graduate,Employed,Rural,86231,0,20316,86,1
Male,Single,1,Graduate,Employed,Urban,71551,1,20241,49,1
Female,Married,0,High School,Employed,Suburban,86165,1,22226,188,1
Male,Single,2,High School,Self-Employed,Urban,61823,0,21929,145,0
Male,Married,1,High School,Employed,Urban,69738,0,5777,62,0
Male,Married,2,High School,Self-Employed,Urban,93850,1,20740,218,1
Female,Married,3,High School,Employed,Urban,87553,0,20070,54,1
Male,Single,2,Graduate,Employed,Suburban,97080,0,23654,194,1
Female,Married,1,High School,Employed,Urban,68832,0,14981,86,0
Male,Married,3,Postgraduate,Self-Employed,Rural,31049,0,11894,71,0
Male,Married,1,High School,Employed,Urban,54803,0,20000,42,0
Female,Single,0,High School,Self-Employed,Urban,116407,0,26658,175,1
Male,Single,3,High School,Self-Employed,Suburban,64593,0,20000,180,1
Female,Married,1,Postgraduate,Self-Employed,Suburban,134664,0,20667,202,1
Male,Married,3,Postgraduate,Unemployed,Urban,50605,0,20000,157,1
Male,Single,1,Graduate,Employed,Urban,25029,0,5006,207,0
Female,Married,2,High School,Employed,Suburban,25412,1,8672,125,0
Male,Divorced,3,Graduate,Employed,Urban,146340,1,20466,141,1
Female,Divorced,3,High School,Self-Employed,Suburban,58267,0,8844,196,0
Male,Divorced,2,High School,Unemployed,Urban,58758,0,20000,71,1
Female,Married,2,Graduate,Employed,Rural,130634,0,37407,49,1
Male,Married,3,Postgraduate,Employed,Suburban,87709,1,20251,85,1
Female,Married,2,High School,Self-Employed,Suburban,67327,0,5676,96,0
Male,Married,1,Graduate,Employed,Urban,28116,0,8351,34,1
Male,Married,0,High School,Unemployed,Urban,147799,1,24460,71,1
Female,Married,3,High School,Unemployed,Rural,53750,0,14695,239,0
Female,Single,1,High School,Unemployed,Urban,30429,0,10361,130,0
Female,Married,0,High School,Unemployed,Urban,20190,0,6773,215,1
Male,Divorced,3,High School,Self-Employed,Urban,94938,0,25933,141,0
Male,Married,0,Postgraduate,Employed,Urban,62942,0,15964,219,1
Male,Married,3,Graduate,Self-Employed,Urban,28804,1,5973,142,0
Female,Single,2,Postgraduate,Unemployed,Urban,89565,0,25287,237,1
Female,Married,0,Graduate,Unemployed,Urban,59015,1,20000,94,1
Male,Married,0,High School,Employed,Urban,53880,0,20000,43,1
Male,Single,1,High School,Employed,Suburban,34415,0,10828,167,0
Female,Single,1,Graduate,Unemployed,Suburban,136426,0,24350,208,1
Female,Single,3,Graduate,Employed,Urban,29242,0,5168,84,0
Male,Married,2,Graduate,Employed,Urban,70297,0,20079,213,1
Female,Single,3,Graduate,Self-Employed,Urban,142510,0,25844,133,1
Female,Single,2,High School,Self-Employed,Rural,141589,1,30149,48,1
Female,Married,2,Graduate,Employed,Urban,109483,0,24545,13,1
Male,Married,0,Graduate,Self-Employed,Urban,69627,0,20630,93,1
Female,Single,3,Postgraduate,Self-Employed,Rural,147344,0,22254,202,1
Female,Married,3,High School,Unemployed,Urban,67805,0,27094,204,0
Male,Single,0,Graduate,Employed,Rural,63241,1,20000,218,1
Male,Married,1,Graduate,Employed,Urban,72100,0,20092,91,1
Male,Single,1,Graduate,Employed,Suburban,127475,0,29625,223,1
Female,Single,2,High School,Self-Employed,Urban,99628,0,27130,16,0
Male,Married,2,Graduate,Employed,Urban,148385,1,29375,27,0
Female,Single,1,Postgraduate,Employed,Urban,84993,0,23227,176,1
Male,Married,2,Graduate,Employed,Suburban,122676,0,23007,35,1
Male,Single,0,Postgraduate,Employed,Urban,28115,0,7639,209,0
Female,Single,3,High School,Employed,Suburban,66037,0,20000,63,1
Male,Married,1,Graduate,Self-Employed,Rural,142193,0,27681,206,1
Male,Married,0,Postgraduate,Unemployed,Urban,132087,0,30306,217,1
Female,Single,2,High School,Self-Employed,Rural,84093,0,20683,136,1
Male,Single,2,High School,Employed,Suburban,30965,1,10534,43,0
Female,Married,1,Graduate,Employed,Urban,52286,0,20000,139,1
Female,Single,2,Graduate,Self-Employed,Urban,22216,1,8282,171,0
Female,Single,0,Graduate,Employed,Suburban,143435,0,35056,46,0
Male,Married,0,Graduate,Employed,Urban,74820,0,20109,225,1
Female,Divorced,1,Graduate,Employed,Urban,70644,0,20214,224,1
Female,Divorced,3,Graduate,Employed,Suburban,58614,1,20000,234,1
Female,Married,3,High School,Employed,Suburban,148709,0,35032,91,1
Female,Married,0,High School,Unemployed,Suburban,66386,0,20000,56,1
Male,Married,0,High School,Employed,Urban,44574,0,16852,41,0
Male,Single,2,High School,Unemployed,Suburban,58884,0,5692,151,0
Male,Married,3,High School,Self-Employed,Rural,142540,0,40419,171,1
Female,Single,2,Graduate,Self-Employed,Urban,118219,1,31572,156,1
Male,Single,3,Postgraduate,Unemployed,Rural,64456,0,20000,86,1
Male,Single,3,Postgraduate,Unemployed,Suburban,115938,0,22008,207,1
Female,Single,0,Graduate,Employed,Urban,79651,0,22311,201,1
Female,Married,3,Postgraduate,Employed,Suburban,37893,0,9058,41,0
Female,Single,2,Graduate,Unemployed,Urban,31881,0,11720,189,1
Male,Divorced,0,Graduate,Employed,Suburban,139546,0,29264,105,1
Male,Single,2,High School,Unemployed,Urban,136120,0,35417,136,1
Male,Divorced,0,Graduate,Self-Employed,Urban,78752,0,21867,81,1
Male,Single,3,High School,Unemployed,Suburban,76841,0,20734,179,1
Male,Married,3,Postgraduate,Unemployed,Urban,54945,0,18054,79,0
Male,Single,0,Graduate,Employed,Rural,89278,0,24036,171,1
Female,Single,2,Graduate,Unemployed,Urban,122337,0,31273,56,0
Female,Married,3,Postgraduate,Employed,Suburban,89347,0,20622,119,1
Female,Single,0,High School,Employed,Suburban,62021,0,20000,210,1
Male,Married,2,High School,Employed,Urban,112223,0,21730,20,0
Male,Married,0,Graduate,Employed,Suburban,43705,0,13680,171,0
Female,Married,1,Graduate,Self-Employed,Urban,105332,1,30623,64,1
Female,Married,0,Graduate,Employed,Urban,98645,0,26386,94,1
Female,Single,0,Graduate,Self-Employed,Rural,56426,0,20000,110,1
Male,Divorced,2,Postgraduate,Unemployed,Rural,27782,0,11110,209,1
Female,Married,3,Postgraduate,Employed,Urban,53396,0,20000,44,1
Female,Married,2,High School,Employed,Suburban,137366,0,34080,163,1
Female,Married,3,Postgraduate,Employed,Urban,111775,0,20659,33,1
Female,Single,1,Postgraduate,Unemployed,Suburban,95606,0,23375,112,1
Female,Married,3,Graduate,Unemployed,Urban,101164,1,29760,56,1
Male,Single,2,High School,Employed,Urban,122044,0,33658,127,0
Male,Single,0,Graduate,Unemployed,Urban,143846,0,22316,164,1
Male,Single,3,Postgraduate,Unemployed,Suburban,88031,0,24632,191,0
Female,Single,0,Graduate,Self-Employed,Urban,64597,0,20000,178,0
Female,Single,2,Graduate,Unemployed,Suburban,36866,0,12723,182,0
Female,Married,1,High School,Employed,Urban,54488,1,20000,130,0
Female,Married,0,Graduate,Unemployed,Suburban,39802,1,9513,18,0
Male,Married,2,High School,Self-Employed,Urban,120248,0,27982,171,1
Male,Married,1,Postgraduate,Employed,Urban,40021,0,11503,78,0
Female,Single,0,Graduate,Employed,Urban,127382,0,32153,235,0
Male,Single,0,Postgraduate,Self-Employed,Suburban,64049,0,17319,117,1
Female,Married,2,High School,Employed,Urban,73442,0,22028,202,1
Male,Married,2,Graduate,Self-Employed,Urban,102751,1,28471,71,1
Male,Married,1,Graduate,Employed,Urban,44908,0,14758,208,0
Male,Single,3,High School,Employed,Suburban,105848,0,31725,87,0
Female,Single,0,High School,Self-Employed,Urban,75973,0,20958,94,1
Female,Single,1,Postgraduate,Self-Employed,Urban,69462,0,25653,206,0
Male,Single,1,Graduate,Self-Employed,Suburban,122652,0,23599,229,1
Male,Married,0,High School,Unemployed,Suburban,67146,0,20119,164,1
Male,Single,1,Graduate,Employed,Urban,120733,0,29062,92,0
Female,Divorced,1,High School,Employed,Urban,62262,0,19664,80,0
Female,Married,0,High School,Self-Employed,Urban,56389,0,20000,196,1
Male,Single,1,Graduate,Employed,Urban,30686,0,6671,40,1
Female,Married,3,Postgraduate,Employed,Suburban,84880,1,21161,160,1
Female,Single,0,Graduate,Employed,Suburban,106381,0,27219,190,1
Male,Divorced,3,Postgraduate,Employed,Urban,60749,0,20000,167,1
Female,Married,1,Postgraduate,Self-Employed,Suburban,30522,0,10022,58,0
Female,Single,3,Graduate,Employed,Urban,86988,0,25502,197,0
Female,Married,3,Graduate,Self-Employed,Suburban,58522,1,12717,198,0
Male,Married,0,Graduate,Employed,Suburban,51124,1,17555,194,0
Male,Married,3,Postgraduate,Employed,Urban,42852,0,7278,100,0
Male,Married,3,Postgraduate,Self-Employed,Urban,32684,0,11711,209,0
Female,Married,1,High School,Unemployed,Suburban,55085,1,20000,194,1
Female,Single,2,High School,Self-Employed,Urban,87613,0,24381,61,1
Female,Single,3,Postgraduate,Employed,Urban,100226,0,25718,189,1
Female,Single,2,High School,Employed,Suburban,23727,0,9132,78,0
Male,Single,2,Graduate,Employed,Urban,33248,0,8249,121,0
Male,Divorced,3,High School,Self-Employed,Urban,92083,0,20380,223,1
Male,Married,0,High School,Self-Employed,Urban,82982,1,20953,52,1
Male,Married,2,High School,Employed,Suburban,89831,0,26158,175,1
Male,Single,1,Graduate,Employed,Urban,127785,1,23611,116,1
Male,Divorced,2,Postgraduate,Self-Employed,Suburban,93269,0,20445,187,1
Female,Single,3,High School,Employed,Suburban,21439,0,5915,163,1
Female,Single,1,Graduate,Self-Employed,Urban,90834,0,25191,124,1
Male,Married,2,Postgraduate,Self-Employed,Suburban,43954,1,11160,238,0
Female,Single,3,High School,Employed,Suburban,88533,0,23063,162,1
Female,Single,2,High School,Self-Employed,Urban,101657,0,23950,137,1
Male,Married,0,Graduate,Self-Employed,Urban,31809,0,10196,16,0
Female,Married,2,High School,Unemployed,Urban,77072,0,22615,138,1
Female,Single,1,High School,Employed,Suburban,21298,0,7879,146,0
Female,Single,3,Graduate,Employed,Urban,146577,1,43544,214,1
Male,Single,3,Graduate,Unemployed,Urban,95705,0,28097,167,0
Female,Single,3,High School,Self-Employed,Rural,114620,1,28058,169,1
Male,Divorced,0,Postgraduate,Self-Employed,Urban,109604,1,28896,166,1
Female,Married,3,High School,Unemployed,Suburban,60527,0,20156,178,0
Male,Married,2,Graduate,Employed,Urban,37319,1,14501,32,0
Female,Married,1,Graduate,Employed,Suburban,54452,0,20000,24,1
Male,Married,3,High School,Employed,Rural,135281,1,36423,150,1
Male,Single,3,High School,Employed,Suburban,129028,0,38095,120,1
Female,Married,0,Graduate,Unemployed,Urban,24781,0,9451,154,0
Female,Divorced,1,High School,Self-Employed,Urban,145638,1,22684,106,1
Female,Single,1,Graduate,Self-Employed,Suburban,54705,1,8130,82,0
Male,Married,3,High School,Unemployed,Urban,63330,1,20000,85,1
Female,Married,3,High School,Self-Employed,Rural,25886,1,5272,131,0
Female,Divorced,2,Graduate,Employed,Urban,135955,0,26166,215,1
Female,Married,2,Graduate,Self-Employed,Suburban,127222,0,33297,126,1
Male,Single,0,Graduate,Employed,Urban,146493,0,32530,232,1
Male,Divorced,1,Postgraduate,Employed,Urban,54690,0,20000,172,1
Male,Single,1,Postgraduate,Unemployed,Suburban,58776,0,11281,63,0
Male,Married,2,Graduate,Unemployed,Urban,114536,0,28860,142,1
Male,Single,1,Graduate,Employed,Urban,89788,1,21551,67,1
Female,Single,1,High School,Employed,Urban,96659,0,26974,87,1
Female,Married,0,Postgraduate,Employed,Urban,79931,0,22160,12,1
Female,Married,3,Graduate,Employed,Urban,114679,0,26696,180,1
Female,Married,3,Graduate,Employed,Suburban,37733,0,11651,222,0
Male,Single,2,Graduate,Employed,Urban,72965,0,21854,27,1
Male,Married,0,Postgraduate,Employed,Urban,69218,0,20343,225,1
Female,Married,2,High School,Employed,Suburban,120833,0,23518,88,1
Male,Single,1,Graduate,Self-Employed,Urban,67455,1,16384,211,0
Female,Married,3,High School,Employed,Urban,74953,0,20773,74,1
Male,Married,2,High School,Self-Employed,Urban,87754,0,20524,13,1
Female,Married,2,Graduate,Employed,Rural,51017,1,15341,173,0
Male,Single,1,Graduate,Self-Employed,Suburban,146614,0,33451,231,0
Male,Married,1,High School,Employed,Suburban,124403,0,28740,232,1
Female,Single,0,High School,Self-Employed,Suburban,32596,0,9574,188,0
Male,Divorced,0,High School,Unemployed,Urban,129277,1,31810,153,1
Female,Single,3,High School,Self-Employed,Suburban,122551,1,34018,93,1
Male,Single,1,Postgraduate,Employed,Urban,72278,0,21650,236,1
Male,Married,1,High School,Employed,Urban,78318,1,22192,129,1
Female,Married,3,Graduate,Self-Employed,Urban,88050,0,24833,196,1
Female,Married,0,Graduate,Employed,Urban,119904,0,31084,126,1
Male,Married,0,High School,Self-Employed,Suburban,103924,0,30122,205,1
Male,Single,1,Postgraduate,Employed,Suburban,131140,0,28586,177,0
Male,Divorced,0,Graduate,Employed,Urban,101260,0,24057,141,1
Male,Married,1,Postgraduate,Employed,Suburban,107900,0,31285,232,1
Male,Married,0,Graduate,Self-Employed,Urban,78450,0,22396,202,1
Female,Single,3,Graduate,Self-Employed,Suburban,89814,0,24899,86,1
Male,Single,2,Graduate,Unemployed,Urban,87531,0,22173,24,1
Female,Married,1,Graduate,Unemployed,Urban,73990,0,21133,176,1
Female,Single,3,Postgraduate,Unemployed,Urban,143028,1,20921,40,1
Male,Single,1,Graduate,Unemployed,Urban,96272,1,27345,191,0
Female,Married,2,Graduate,Self-Employed,Suburban,85374,0,24037,237,1
Male,Married,1,High School,Employed,Urban,58166,0,12335,237,0
Male,Single,1,Graduate,Employed,Urban,69098,1,20496,194,1
Female,Divorced,0,Graduate,Employed,Urban,61427,0,20000,113,1
Female,Married,3,High School,Unemployed,Suburban,67734,0,5783,72,0
Female,Single,0,Graduate,Employed,Urban,59496,0,20000,210,1
Female,Single,2,Graduate,Unemployed,Urban,54031,0,7037,148,0
Female,Married,0,Graduate,Employed,Suburban,57378,0,20000,184,1
Male,Single,3,Postgraduate,Self-Employed,Urban,65132,0,20000,180,1
Male,Married,2,High School,Employed,Urban,60086,1,12042,108,0
Male,Married,2,Graduate,Employed,Urban,60801,0,20000,23,1
Female,Married,2,Postgraduate,Unemployed,Suburban,101778,0,24248,120,1
Female,Single,1,Graduate,Self-Employed,Urban,120118,0,32729,200,1
Male,Single,0,Postgraduate,Self-Employed,Urban,78889,1,23200,83,1
Male,Single,1,Graduate,Self-Employed,Rural,60828,0,17746,105,0
Female,Married,0,High School,Unemployed,Urban,24091,0,7342,149,0
Male,Married,0,Graduate,Unemployed,Urban,76084,1,20982,33,1
Male,Single,0,Graduate,Unemployed,Urban,55674,0,13293,232,0
Male,Single,1,Postgraduate,Unemployed,Urban,63838,0,20000,18,1
Male,Single,0,Graduate,Employed,Rural,54900,0,12169,35,0
Female,Married,2,Graduate,Employed,Urban,127325,0,25641,26,1
Male,Married,0,Postgraduate,Employed,Urban,61832,0,20000,167,0
Female,Single,2,High School,Self-Employed,Urban,49115,0,6264,86,0
Male,Married,0,Postgraduate,Self-Employed,Suburban,39177,0,7132,19,0
Female,Single,3,Graduate,Self-Employed,Urban,54395,0,20000,173,1
Female,Single,1,High School,Self-Employed,Suburban,105635,0,29718,132,1
Female,Single,1,Graduate,Unemployed,Urban,95401,0,20283,98,1
Male,Married,3,Graduate,Employed,Urban,145436,1,33481,200,0
Female,Married,0,Postgraduate,Self-Employed,Urban,106635,0,26874,210,1
Male,Divorced,0,High School,Employed,Suburban,124951,1,20435,183,0
Female,Single,0,Graduate,Employed,Urban,79776,0,22329,47,1
Male,Married,1,High School,Self-Employed,Urban,149020,0,30766,92,0
Male,Single,1,High School,Self-Employed,Urban,132192,0,24086,21,1
Male,Married,3,Graduate,Employed,Urban,68570,0,20686,23,0
Male,Single,1,Graduate,Employed,Urban,65579,0,25521,166,0
Male,Single,1,Graduate,Self-Employed,Urban,73904,0,22008,45,1
Male,Single,1,High School,Employed,Suburban,35810,0,5993,31,1
Female,Single,2,Graduate,Self-Employed,Urban,138802,1,37204,21,1
Male,Single,1,Postgraduate,Unemployed,Urban,28478,1,8733,43,0
Female,Married,2,Graduate,Self-Employed,Urban,56559,0,20000,28,1
Male,Single,2,Graduate,Employed,Urban,53535,0,20000,214,1
Male,Single,2,Graduate,Employed,Urban,100180,0,23049,159,1
Male,Married,2,Postgraduate,Unemployed,Suburban,144722,0,21222,185,1
Female,Married,2,High School,Employed,Rural,132717,1,23422,98,1
Male,Single,2,Graduate,Self-Employed,Urban,76326,0,21393,99,1
